State,POPULATION DENSITY,POPULATION,Abbreviation,Lockdown Date,RE-open date,Peak Daily Deaths Date,Length (in days) of lockdown,Time (in days) between Stay at home order and Peak Deaths,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,Population Mortality,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
Indiana,181,"6,483,802",IN,"Tuesday, March 24, 2020","Tuesday, May 5, 2020","Friday, May 1, 2020",42,38,39909,308482,,869,6419,301,1360,113,,28522,A+,6/13/2020 23:59,6/13/2020 18:59,06/13 19:59,2422,0.0373546262,6419,6/13/2020 18:59,,,,39909,18,366,7388,348391,348391,7754,348391,9,70,ee0988cf58647880759275938fc9740a192597c8,0,0,0,0,0,
Kansas,34.9,"2,853,118",KS,"Monday, March 30, 2020","Monday, May 4, 2020","Wednesday, April 22, 2020",35,23,11047,118105,,,973,,324,,143,667,A,6/12/2020 13:30,6/12/2020 8:30,06/12 09:30,243,0.0085169979,973,6/12/2020 8:30,,,,11047,20,0,0,129152,129152,0,129152,0,0,577e5a6b4970f81ef2263a662a9fbc98084353c3,0,0,0,0,0,
Kentucky,109.9,"4,339,367",KY,"Thursday, March 26, 2020","Monday, May 11, 2020","Wednesday, April 22, 2020",46,27,12445,282140,,410,2433,68,969,,,3409,B,6/13/2020 0:00,6/12/2020 19:00,06/12 20:00,499,0.0114993731,2433,6/12/2020 19:00,,,,12125,21,0,0,294585,294585,0,294585,0,0,16525cc292ca49f6d3b9914ee0ce25fef9698b09,0,0,0,0,0,
Louisiana,104.9,"4,533,372",LA,"Monday, March 23, 2020","Friday, May 15, 2020","Saturday, April 18, 2020",53,26,46619,462713,,556,,,,76,,33904,B,6/14/2020 13:00,6/14/2020 8:00,06/14 09:00,3014,0.0664847270,,6/14/2020 8:00,,,,46619,22,336,4613,509332,509332,4949,509332,10,0,2321810812ea47b704b04d10cd7a9cd3a609a796,0,0,0,0,0,
Massachusetts,839.4,"6,547,629",MA,"Tuesday, March 24, 2020","Monday, May 18, 2020","Saturday, April 25, 2020",55,32,105603,607107,,1039,10802,244,,156,,,A+,6/14/2020 10:00,6/14/2020 5:00,06/14 06:00,7624,0.1164390957,10802,6/14/2020 5:00,,,,101276,25,208,8906,712710,712710,9114,712710,48,30,5cff67e031a1dc0b079d9af1e0af56f1de2755ae,0,0,0,0,0,
Maryland,594.8,"5,773,552",MD,"Monday, March 30, 2020","Friday, May 15, 2020","Friday, May 8, 2020",46,39,61701,353608,,751,10165,313,,,,4541,B,6/14/2020 10:00,6/14/2020 5:00,06/14 06:00,2939,0.0509045385,10165,6/14/2020 5:00,492305,,,61701,24,396,6155,415309,415309,6551,415309,13,112,c797a8d800e6dded4c3632533dcfe53d85356c41,0,0,0,0,0,
Maine,43.1,"1,328,361",ME,"Monday, March 30, 2020","Monday, May 11, 2020","Friday, April 24, 2020",46,25,2793,67065,,29,314,10,,5,,2173,B,6/14/2020 12:15,6/14/2020 7:15,06/14 08:15,100,0.0075280741,314,6/14/2020 7:15,70589,3413,67065,2486,23,36,1472,69858,69858,1508,69858,0,1,5fb21eb96b985dffce0d2f3a651fb46a61988a29,0,0,0,0,0,
Michigan,174.8,"9,883,640",MI,"Tuesday, March 24, 2020","Thursday, May 7, 2020","Tuesday, April 28, 2020",44,35,66054,747444,,636,,253,,139,,44964,A+,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,6016,0.0608682631,,6/13/2020 19:00,829523,82079,747444,59990,26,218,13797,813498,813498,14015,813498,3,0,5378d3d443674480fbb3e38242f0d5cf81208dcb,0,0,0,0,0,
Minnesota,66.6,"5,303,925",MN,"Friday, March 27, 2020","Monday, April 27, 2020","Saturday, May 30, 2020",51,40,30471,387239,,369,3610,186,1110,,,26090,A,6/13/2020 17:00,6/13/2020 12:00,06/13 13:00,1329,0.0250569154,3610,6/13/2020 12:00,417710,,,30471,27,6,-6,417710,417710,0,417710,15,29,7ddd923557bcde78fbc28340bd4e98375c575448,0,0,0,0,0,
Missouri,87.1,"5,988,927",MO,"Monday, April 6, 2020","Monday, May 4, 2020","Monday, May 11, 2020",28,35,15810,259679,,647,,,,65,,,B,6/14/2020 15:00,6/14/2020 10:00,06/14 11:00,879,0.0146770866,,6/14/2020 10:00,270232,17275,252506,15810,29,0,5693,275489,275489,5693,275489,0,0,9b299782b8240937a6eb1b7338d61d0e8f2e0ec3,0,0,0,0,0,
